epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4484.03,1.752,1.2597,1.12918,0.87201,0.83784,0.86978,0.40611,1.82605,0.84218,1.14711,0.00333305,0.00333305,0.00333305
2,8626.74,1.6403,0.86415,1.09629,0.88047,0.82432,0.87272,0.42883,1.77276,0.82787,1.13822,0.00650139,0.00650139,0.00650139
3,12387.8,1.6384,0.86595,1.10409,0.91344,0.67734,0.84393,0.44396,1.71455,1.44107,1.17445,0.00950473,0.00950473,0.00950473
