epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9801.97,2.49986,2.83079,1.58048,0.51409,0.48792,0.37157,0.14583,2.17294,1.91681,1.46318,0.00333309,0.00333309,0.00333309
2,19567.5,2.35339,2.32253,1.50181,0.58912,0.47793,0.37179,0.14649,2.14111,1.98044,1.47012,0.00655643,0.00655643,0.00655643
3,29314.8,2.35912,2.31827,1.52994,0.10196,0.25121,0.15597,0.05817,2.73121,4.18248,1.81589,0.00966977,0.00966977,0.00966977
4,39052.2,2.34569,2.27161,1.5338,0,0,0,0,3.552,6.52918,2.27512,0.009505,0.009505,0.009505
5,48784.3,2.28973,2.15814,1.50735,0,0,0,0,3.46505,6.37373,2.24852,0.00934,0.00934,0.00934
6,58516.6,2.26528,2.10285,1.49336,0.25,0.00966,0.12996,0.05102,3.01192,5.44862,1.99778,0.009175,0.009175,0.009175
7,68260.7,2.2421,2.0577,1.48292,0.24478,0.25121,0.19967,0.08463,2.39099,3.45443,1.62589,0.00901,0.00901,0.00901
